"ACCOUNTSOURCE","ANNUALREVENUE","BILLINGADDRESS","BILLINGCITY","BILLINGCOUNTRY","BILLINGGEOCODEACCURACY","BILLINGLATITUDE","BILLINGLONGITUDE","BILLINGPOSTALCODE","BILLINGSTATE","BILLINGSTREET","CREATEDBYID","CREATEDDATE","DESCRIPTION","FAX","ID","INDUSTRY","ISDELETED","JIGSAW","JIGSAWCOMPANYID","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","MASTERRECORDID","NAME","NUMBEROFEMPLOYEES","OWNERID","PARENTID","PHONE","PHOTOURL","SHIPPINGADDRESS","SHIPPINGCITY","SHIPPINGCOUNTRY","SHIPPINGGEOCODEACCURACY","SHIPPINGLATITUDE","SHIPPINGLONGITUDE","SHIPPINGPOSTALCODE","SHIPPINGSTATE","SHIPPINGSTREET","SICDESC","SYSTEMMODSTAMP","TYPE","WEBSITE"
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipdAAC","","False","","","2020-02-08","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Cerner Corporation","","0056g0000011OsEAAU","","4165551234","/services/images/photo/0016g000003PipdAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","Customer",""
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipgAAC","Finance","False","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Woodward Markwell","","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PipgAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","",""
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipiAAC","","False","","","2020-05-04","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","British Airways","","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PipiAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","",""
"","30000000","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipjAAC","Hospitality","False","","","2020-03-21","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","KSD","60","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PipjAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","Customer",""
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipoAAC","","False","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Adam Family","","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PipoAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","",""
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipsAAC","Construction","False","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Abb limited","","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PipsAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","Customer",""
"","1000000","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PiplAAC","Construction","False","","","2020-05-07","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Amity university","","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PiplAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","Customer",""
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipkAAC","","False","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Vango Brokers","","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PipkAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","Customer",""
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PiphAAC","","False","","","2020-07-24","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","A J Gallagher","","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PiphAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","",""
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PippAAC","","False","","","2020-07-10","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Lowe's","","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PippAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","",""
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PiptAAC","","False","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Waysahead","","0056g0000011OsEAAU","","99200183465","/services/images/photo/0016g000003PiptAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","Partner",""
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipqAAC","","False","","","2020-08-15","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","IBM Australia","","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PipqAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","",""
"","","","Boston","United States","","","","02118","MA","72 East Concord Street","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipuAAC","Insurance","False","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Acme, Inc.","","0056g0000011OsEAAU","","8883636899","/services/images/photo/0016g000003PipuAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","",""
"","","","Cook","United States","","","","","MA","1419 Gunderson Ave","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipvAAC","Finance","False","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Acme Real Estate","","0056g0000011OsEAAU","","8883636889","/services/images/photo/0016g000003PipvAAC","","Cook","","","","","","MA","1419 Gunderson Ave","","2019-11-09T02:05:10.000Z","",""
"","","","Cambridge","","","","","","MA","240 E 3rd Ave","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipwAAC","Technology","False","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Acme Global","","0056g0000011OsEAAU","","9883636888","/services/images/photo/0016g000003PipwAAC","","Cambridge","","","","","","MA","240 E 3rd Ave","","2019-11-09T02:05:10.000Z","",""
"","","","Lowell","","","","","97233","MA","16909 SE Alder St","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipxAAC","Technology","False","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","ACME Technologies","","0056g0000011OsEAAU","","8783636888","/services/images/photo/0016g000003PipxAAC","","Lowell","","","","","97233","MA","16909 SE Alder St","","2019-11-09T02:05:10.000Z","",""
"","","","Boston","","","","","","MA","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipyAAC","Technology","False","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Acme United Corporation.","","0056g0000011OsEAAU","","8883636888","/services/images/photo/0016g000003PipyAAC","","Boston","","","","","","MA","","","2019-11-09T02:05:10.000Z","",""
"","","","Toronto","Canada","","","","L4B 1Y3","Ontario","150 Chestnut Street","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","GBM is the worldwide leader in technology news and information on the Web and the producer of the longest-running and farthest-reaching television shows about technology. GBM's network of sites combines breakthrough interactive technology with engaging content and design and is consistently ranked as the Internet's leading content network in terms of both audience size and revenue, serving millions of users each day. The company's television programming is broadcast by the USA Network and the Sci-Fi Channel to more than 70 million households and is syndicated to broadcast television stations in the nation's top 120 markets, including the top 10 markets.","","@0016g000003PipEAAS","Media","False","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Global Media","14668","0056g0000011OsEAAU","","(905) 555-1212","/services/images/photo/0016g000003PipEAAS","","Toronto","Canada","","","","L4B 1Y3","Ontario","150 Chestnut Street","","2019-11-09T02:05:10.000Z","Prospect",""
"","100000000","","New York","USA","","","","31349","NY","10 Main Rd.","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","(212) 555-5555","@0016g000003PipFAAS","Manufacturing","False","","","2020-04-26","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Acme","680","0056g0000011OsEAAU","","(212) 555-5555","/services/images/photo/0016g000003PipFAAS","","New York","USA","","","","31349","NY","10 Main Rd.","","2019-11-09T02:05:10.000Z","Prospect",""
"","","","San Francisco","USA","","","","94105","CA","The Landmark @ One Market, Suite 300","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","Founded in March 1999, salesforce.com (http://www.salesforce.com) builds and delivers customer relationship management (CRM) applications as scalable online services. The salesforce.com product suite - Team Edition, Professional Edition, Enterprise Edition, Wireless Edition and Offline Edition - gives companies of all sizes a complete 360-degree view of the customer. The company's award-winning CRM solutions provide integrated online sales force automation, customer service and support management, and marketing automation applications to help companies meet the complex challenges of global customer communication. Salesforce.com has received considerable recognition in the industry, including Editors' Choice and two Five-Star ratings from PC Magazine, two Deploy Awards from InfoWorld, Red Herring 100, Upside Hot 100, Investor's Choice Award from Enterprise Outlook, Editors' Choice from TMCLabs, Top 10 CRM Implementation from Aberdeen Group, and InfoWorld's 2001 CRM Technology of the Year. Founded in 1999, salesforce.com is headquartered in San Francisco, with offices in Europe and Asia.","(415) 901-7040","@0016g000003PipGAAS","Technology","False","","","2019-12-13","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","2019-12-19T02:30:03.000Z","2019-12-19T02:30:03.000Z","","salesforce.com","","0056g0000011OsEAAU","","(415) 901-7000","/services/images/photo/0016g000003PipGAAS","","San Francisco","USA","","","","94105","CA","The Landmark @ One Market, Suite 300","","2019-11-09T02:05:10.000Z","Customer","http://www.salesforce.com"
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipPAAS","","False","","","2019-12-28","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Miller Group","","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PipPAAS","","","","","","","","","","","2019-11-09T02:05:10.000Z","Customer","millerfin.com"
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PiprAAC","","False","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Jenkins Trader","","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PiprAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","",""
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipQAAS","","False","","","2019-12-01","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Superstore","","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PipQAAS","","","","","","","","","","","2019-11-09T02:05:10.000Z","",""
"","","","Washington","United States","","","","20024","DC","600 Maryland Avenue Southwest","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipRAAS","Government","False","","","2019-12-18","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","2019-12-19T02:30:02.000Z","2019-12-19T02:30:02.000Z","","U.S. Postal Service","","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PipRAAS","","","","","","","","","","","2019-11-09T02:05:10.000Z","Other",""
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipSAAS","","False","","","2020-03-19","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Santander Bank","","0056g0000011OsEAAU","","1987654321","/services/images/photo/0016g000003PipSAAS","","","","","","","","","","","2019-11-09T02:05:10.000Z","Customer","www.smp.com"
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipTAAS","Technology","False","","","2020-01-21","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Maven Operations","30000","0056g0000011OsEAAU","","(189) 145-6387","/services/images/photo/0016g000003PipTAAS","","","","","","","","","","","2019-11-09T02:05:10.000Z","Customer",""
"","35600000000","","","","","","","","","","0056g0000011OsWAAU","2019-11-09T02:05:10.000Z","The Lufthansa Group is an aviation company with operations worldwide. In the financial year 2017, the Lufthansa Group generated revenue of EUR 35.6bn and employed an average of 128,856 staff. The structure of the business segments was adjusted in line with the three-pillar concept behind the corporate strategy at the beginning of the financial year. Since then, the Lufthansa Group has been organized into the business segments Network Airlines, Point-to-Point Airlines, Aviation Services (comprising the segments Logistics, MRO and Catering), and Additional Businesses and Group Functions.","","@0016g000003PipUAAS","Transportation","False","","","2020-01-19","0056g0000011OsWAAU","2019-11-09T02:05:10.000Z","","","","Lufthansa Group","129424","0056g0000011OsWAAU","","","/services/images/photo/0016g000003PipUAAS","","","","","","","","","","","2019-11-09T02:05:10.000Z","Customer","https://www.lufthansagroup.com/en/company.html"
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipVAAS","","False","","","2020-04-29","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Pizza Hut","","0056g0000011OsEAAU","","+34934564672","/services/images/photo/0016g000003PipVAAS","","","","","","","","","","","2019-11-09T02:05:10.000Z","",""
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipWAAS","Manufacturing","False","","","2020-04-23","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Ohana Ventures","","0056g0000011OsEAAU","","(123) 456-7890","/services/images/photo/0016g000003PipWAAS","","","","","","","","","","","2019-11-09T02:05:10.000Z","Customer",""
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipMAAS","Banking","False","","","2020-05-03","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Citibank","","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PipMAAS","","","","","","","","","","","2019-11-09T02:05:10.000Z","Customer",""
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipNAAS","Healthcare","False","","","2020-05-06","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Pfizer Inc","","0056g0000011OsEAAU","","555284387","/services/images/photo/0016g000003PipNAAS","","","","","","","","","","","2019-11-09T02:05:10.000Z","Customer","pfizer.com"
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipOAAS","","False","","","2020-04-19","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Jiffy Plc","","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PipOAAS","","","","","","","","","","","2019-11-09T02:05:10.000Z","",""
"","50000000","","Houston","","","","","","TX","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipmAAC","Transportation","False","","","2020-04-23","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Northside Lexus","","0056g0000011OsEAAU","","713-555-1111","/services/images/photo/0016g000003PipmAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","Partner",""
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipnAAC","Manufacturing","False","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Tata Steel","10000","0056g0000011OsEAAU","","8668412348","/services/images/photo/0016g000003PipnAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","Customer",""
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipLAAS","","False","","","2020-05-20","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Universal Exports","","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PipLAAS","","","","","","","","","","","2019-11-09T02:05:10.000Z","",""
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipeAAC","","False","","","2020-08-13","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","2019-12-19T02:30:03.000Z","2019-12-19T02:30:03.000Z","","Future Group Limited","","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PipeAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","",""
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipfAAC","","False","","","2020-09-04","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","2019-12-19T02:30:03.000Z","2019-12-19T02:30:03.000Z","","Conrad labs","","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PipfAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","",""
